APPLICATION_SUBMISSION_TYPE,POSTAL_ADDRESS_TYPE,GENDER,MARITAL_STATUS,RESIDENTIAL_PHONE,RESIDENCE_TYPE,EMAIL,PROFESSIONAL_PHONE,PROFESSION_CODE,OCCUPATION_TYPE,PRODUCT,QUANT_ADDITIONAL_CARDS,QUANT_DEPENDANTS,MONTHS_IN_RESIDENCE,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,QUANT_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,MONTHS_IN_THE_JOB,AGE,TARGET_LABEL
0,1,M,2,N,1,0,N,9,1,1,0,0,6,1276,0,1,0,1,0,45,1
0,1,F,6,Y,1,0,N,9,4,2,0,1,3,350,0,1,0,1,0,20,0
Web,1,F,2,N,1,1,N,9,5,1,0,0,20,350,0,0,0,0,0,42,0
0,1,M,2,Y,1,1,N,11,5,2,0,0,0,630,0,1,0,1,0,40,1
Web,1,F,2,Y,2,1,Y,9,5,1,0,4,1,660,0,0,0,0,0,35,0
Web,1,M,2,Y,1,1,N,11,2,1,0,3,1,451,0,0,0,0,0,26,0
0,1,M,2,Y,0,1,N,0,0,1,0,0,0,1715,0,1,0,1,0,26,0
Paper,1,F,1,Y,1,1,N,11,1,1,0,0,1,352,0,0,0,0,0,76,0
0,1,F,4,Y,1,1,N,0,1,1,0,0,20,350,0,1,0,1,0,80,1
0,1,F,1,Y,1,0,N,0,1,1,0,6,5,350,0,1,0,1,0,59,0
Web,1,F,2,N,1,1,Y,9,2,1,0,1,10,599,0,0,0,0,0,31,0
Web,1,F,2,Y,1,1,N,,,1,0,2,3,300,0,0,0,0,0,36,0
Paper,1,F,2,N,1,1,N,11,1,1,0,1,1,276.62,0,0,0,0,0,61,0
Web,1,M,2,Y,1,1,N,9,2,2,0,0,5,1067,0,0,0,0,0,33,0
Web,1,F,2,Y,1,1,N,9,1,1,0,0,40,382,1000,0,0,0,0,62,0
Web,1,F,1,Y,1,1,N,,,1,0,0,5,1079,0,0,15000,0,0,32,1
0,1,F,2,Y,1,1,Y,9,2,1,0,2,10,536,706,1,0,1,0,36,0
0,1,F,4,Y,1,0,N,0,0,1,0,0,1,359,0,1,0,1,0,53,0
Web,1,F,2,Y,1,1,Y,9,2,1,0,2,40,800,250,0,0,0,0,44,0
Web,1,F,1,Y,5,1,Y,9,2,2,0,0,30,372,0,0,0,0,0,32,0
0,1,F,2,Y,1,0,N,2,4,1,0,0,7,350,0,1,0,1,0,55,0
Web,1,F,1,Y,5,1,N,9,2,1,0,0,6,380,0,0,0,0,0,22,0
0,1,M,2,Y,1,1,N,11,1,1,0,0,10,351,350,1,0,1,0,58,0
0,1,F,4,N,1,0,N,9,5,1,0,0,32,350,0,1,0,1,0,65,1
0,1,F,2,Y,0,0,N,0,0,2,0,0,0,350,0,1,0,1,0,56,0
0,2,F,2,N,2,0,Y,9,2,1,0,0,2,642,0,1,0,1,0,45,0
0,1,M,3,N,1,0,N,9,1,1,0,0,10,350,0,1,0,1,0,58,0
Web,1,F,2,Y,3,1,N,2,4,1,0,2,7,1200,0,0,0,0,0,37,0
Web,1,M,2,Y,3,1,N,9,5,1,0,0,0,631,0,0,0,0,0,33,0
Web,1,F,2,N,1,1,N,,4,1,0,0,5,200,0,0,0,0,0,60,1
0,1,F,2,Y,1,0,N,0,0,1,0,0,25,500,0,1,0,1,0,54,0
Web,1,M,2,Y,1,1,N,9,2,1,0,0,1,600,0,0,0,0,0,46,0
0,1,F,1,Y,1,0,Y,9,2,1,0,0,15,480,0,1,0,1,0,20,1
Web,1,M,2,Y,2,1,Y,9,2,1,0,2,1,455.35,0,0,0,0,0,30,0
Web,1,M,3,Y,1,1,N,9,2,1,0,0,18,805,0,0,0,0,0,60,0
0,1,M,1,Y,1,1,N,,,1,0,2,20,1650,0,1,0,0,0,45,0
0,1,F,2,N,1,1,Y,9,2,1,0,0,4,1600,0,1,0,0,0,35,0
Web,1,F,3,Y,1,1,N,,,1,0,0,1,350,0,0,0,0,0,70,0
0,1,F,1,Y,1,1,N,9,4,7,0,0,1,350,0,0,0,0,0,66,0
0,1,M,2,Y,1,1,Y,9,2,1,0,0,5,1280,0,0,0,0,0,38,0
Web,1,M,2,Y,1,1,Y,9,5,1,0,2,15,1283,0,0,0,0,0,45,0
Web,1,F,7,Y,1,1,Y,9,4,1,0,1,12,1200,1400,0,0,0,0,45,0
Web,1,F,2,Y,1,1,Y,9,2,1,0,0,6,1500,0,0,0,0,0,39,0
0,1,F,2,Y,1,1,N,11,1,1,0,3,15,700,0,1,0,1,0,60,0
Web,1,F,2,Y,1,1,N,11,,1,0,2,29,338,0,0,0,0,0,29,0
Web,1,F,5,Y,1,1,N,,5,1,0,5,32,350,0,0,0,0,0,52,0
0,1,M,2,Y,1,1,Y,9,2,1,0,0,1,588,0,1,0,0,0,32,0
Web,1,F,1,Y,1,1,Y,9,4,1,0,0,32,1216.46,0,0,0,0,0,34,0
Web,1,F,1,N,1,1,Y,9,2,1,0,0,1,528,0,0,0,0,0,29,0
0,1,F,1,Y,1,1,Y,9,2,1,0,1,15,686,0,1,0,1,0,52,0
0,1,F,2,Y,1,1,N,9,0,2,0,0,0,350,0,1,0,1,0,31,0
Web,1,F,2,Y,1,1,N,,,1,0,0,5,454,0,0,0,0,0,26,1
Web,1,M,2,Y,1,1,N,9,5,1,0,3,1,1332,0,0,0,0,0,44,1
0,1,F,2,Y,1,1,N,0,0,1,0,2,0,516,0,1,0,1,0,36,0
0,1,M,2,Y,1,0,Y,9,2,1,0,2,16,368,0,1,0,1,0,45,0
Paper,1,M,2,Y,2,1,Y,9,2,1,0,2,1,536,0,0,0,0,0,48,1
Web,1,F,1,Y,1,1,N,2,4,1,0,2,5,680,0,0,0,0,0,36,0
0,1,M,1,Y,1,1,Y,11,2,2,0,1,0,1566,0,1,0,1,0,34,1
0,1,N,4,N,1,0,N,9,1,1,0,0,20,682,0,1,0,1,0,59,0
0,1,F,4,N,1,0,N,9,1,1,0,1,23,422,0,0,0,1,0,76,1
Web,1,F,2,Y,1,1,Y,9,2,1,0,2,8,350,0,0,0,0,0,28,1
0,1,M,2,Y,1,0,N,0,5,1,0,0,8,550,0,1,0,1,0,29,1
Web,1,F,2,Y,1,1,N,9,2,1,0,0,13,832,0,0,0,0,0,34,0
Web,1,F,2,N,0,1,N,,,1,0,0,5,904,0,0,0,0,0,50,0
Web,1,M,2,Y,1,1,Y,8,5,2,0,0,18,1220,0,1,50000,1,0,53,0
Web,1,M,2,Y,1,1,N,,1,1,0,0,10,988,0,0,0,0,0,50,0
Paper,1,M,2,Y,1,1,Y,9,2,1,0,2,1,315,0,0,0,0,0,22,0
Web,1,M,2,Y,1,1,N,,1,1,0,0,20,739,0,0,0,0,0,60,0
Web,1,F,2,Y,1,1,N,9,5,1,0,0,4,389,0,0,0,0,0,40,0
0,1,F,1,Y,1,1,N,9,1,1,0,0,6,350,0,1,0,0,0,61,0
0,1,F,2,N,,1,N,,,7,0,0,10,500,0,0,0,0,0,51,1
Web,1,M,2,Y,1,1,N,,,1,0,0,3,489,0,0,0,0,0,32,0
0,1,F,4,Y,1,0,N,0,0,1,0,0,15,95864,0,1,0,1,0,39,1
Web,1,F,2,N,1,1,N,,,1,0,0,14,380,0,0,0,0,0,30,0
0,1,F,2,Y,1,1,N,0,0,2,0,6,0,1350,0,1,0,1,0,28,1
Web,1,F,1,Y,1,1,N,,,1,0,0,5,385,0,0,0,0,0,29,0
0,1,F,4,N,1,1,N,9,1,1,0,1,0,351,0,1,0,1,0,70,0
Web,1,M,2,Y,,1,Y,,,1,0,0,10,565,0,0,0,0,0,40,0
0,1,M,2,Y,1,1,N,9,2,1,0,6,0,615,0,1,0,1,0,43,0
0,1,F,2,Y,1,1,N,9,1,1,0,0,0,500,0,1,0,1,0,28,1
Web,1,F,2,Y,1,1,N,,4,1,0,0,36,450,0,0,0,0,0,36,0
Web,1,F,1,Y,1,1,N,2,4,1,0,0,7,300,0,0,0,0,0,28,0
Web,1,F,2,Y,1,1,N,,4,1,0,3,12,700,0,0,120000,0,0,45,0
Web,1,F,1,Y,1,1,N,,,1,0,0,10,2350,0,0,0,0,0,38,0
0,1,F,1,Y,2,0,N,9,4,1,0,1,2,600,0,1,0,1,0,46,0
0,1,M,2,Y,1,0,N,9,1,2,0,0,0,1823,0,1,0,1,0,58,0
Web,1,F,2,Y,2,1,N,,,1,0,1,10,200,0,0,0,0,0,37,0
0,1,M,2,Y,1,0,N,9,4,1,0,3,1,500,0,1,0,1,0,46,1
Web,1,M,2,Y,2,1,N,,,1,0,0,2,350,0,0,0,0,0,27,1
Web,1,M,2,Y,1,1,N,,2,1,0,0,2,700,0,0,0,0,0,32,0
0,1,F,2,Y,1,0,N,0,0,1,0,0,45,350,0,1,0,1,0,65,0
0,1,F,2,Y,1,0,N,0,0,1,0,0,30,597,0,1,0,1,0,48,0
0,1,F,1,Y,5,0,N,9,5,2,0,0,5,273,0,1,0,1,0,26,0
0,1,M,1,Y,4,0,Y,9,2,1,0,0,3,800,0,1,0,1,0,27,0
0,1,F,1,Y,1,1,Y,9,2,1,0,0,0,850,0,1,0,1,0,29,1
Web,1,M,7,Y,1,1,N,,1,1,0,0,12,381,0,0,0,0,0,66,0
Web,1,M,2,Y,1,1,N,,,2,0,0,7,5000,0,0,120000,0,0,52,0
0,1,F,1,Y,1,1,Y,0,0,1,0,1,5,414,0,1,0,1,0,44,1
0,1,F,1,Y,1,0,N,9,2,1,0,0,18,894,0,1,0,1,0,23,1
Web,1,F,3,Y,1,1,N,,,1,0,0,10,380,0,0,0,0,0,48,0
Web,1,F,7,Y,1,1,N,,1,1,0,1,16,351,0,0,15000,0,0,50,1
Web,1,F,4,Y,1,1,N,9,1,1,0,0,25,1050,0,0,0,0,0,77,0
Web,1,F,4,N,1,1,N,9,1,1,0,1,20,350,0,0,0,0,0,65,0
Web,1,F,1,Y,1,1,Y,9,2,1,0,0,2,1600,0,0,0,0,0,34,0
Web,1,F,1,Y,1,1,N,9,2,1,0,1,5,1100,0,0,0,0,0,25,1
0,1,M,2,Y,2,1,N,0,0,2,0,0,1,600,0,1,0,1,0,60,1
Web,1,F,5,N,2,1,Y,9,2,1,0,0,0,700,0,0,0,0,0,37,1
0,1,M,2,N,1,1,Y,10,2,2,0,0,22,1649,0,1,0,0,0,49,0
0,1,M,2,Y,1,0,Y,9,2,1,0,0,1,1220,0,0,10000,1,0,23,0
Web,1,F,4,Y,1,1,N,,,2,0,0,30,381,0,0,0,0,0,54,0
0,1,F,2,N,1,0,Y,0,0,1,0,0,6,434,0,1,0,1,0,47,0
0,1,F,2,Y,1,0,Y,9,2,1,0,0,9,483,0,1,0,1,0,40,0
0,1,,2,Y,1,0,Y,9,2,1,0,1,8,436,0,0,0,1,0,33,1
0,1,M,1,Y,1,0,Y,9,2,1,0,0,1,1200,0,1,0,1,0,26,0
Web,1,F,2,N,1,1,N,9,2,1,0,0,10,800,0,0,0,0,0,51,1
Web,1,F,2,Y,1,1,N,9,1,1,0,0,25,502,0,0,0,0,0,51,0
0,1,M,2,Y,1,0,Y,7,5,1,0,0,12,1950,0,1,0,1,0,55,0
Web,1,F,6,Y,1,1,Y,9,2,1,0,0,8,409,0,0,0,0,0,48,0
Web,1,F,1,Y,1,1,N,11,,1,0,0,10,350,0,0,0,0,0,45,0
Web,1,M,6,Y,1,1,N,9,4,1,0,0,10,220.4,0,0,0,0,0,20,0
0,1,M,2,Y,1,0,N,9,2,1,0,6,17,701,0,1,0,1,0,47,1
0,1,F,4,N,1,0,N,9,1,1,0,0,10,450,0,1,0,1,0,91,1
Web,1,M,1,N,1,1,N,,,1,0,1,16,297,0,0,0,0,0,66,0
Web,1,M,1,Y,1,1,N,9,2,1,0,0,2,56363,0,0,0,0,0,38,1
Web,1,M,1,Y,1,1,N,,,1,0,0,10,300,0,0,0,0,0,36,0
Web,1,F,1,Y,1,1,N,9,1,1,0,2,12,1053,0,0,0,0,0,51,0
0,1,F,4,Y,1,0,N,9,1,1,0,0,60,960,0,1,0,1,0,66,0
Web,1,F,2,Y,1,1,N,9,1,1,0,0,10,700,800,0,0,0,0,68,0
Web,1,F,2,Y,1,1,N,15,1,1,0,0,14,380,0,0,0,0,0,64,0
0,1,M,0,Y,1,1,N,11,2,1,0,3,0,397,0,1,0,1,0,31,1
Paper,1,F,2,Y,1,1,N,9,1,1,0,0,1,300,0,0,0,0,0,33,0
0,1,F,2,N,1,1,N,0,4,1,0,0,20,220,0,1,0,1,0,48,0
Web,1,M,1,Y,2,1,N,9,5,1,0,0,4,408,0,0,0,0,0,41,0
Web,1,F,4,Y,1,1,Y,16,5,1,0,1,25,350,0,0,0,0,0,50,0
Web,1,F,2,Y,4,1,N,9,2,1,0,2,2,380,700,0,0,0,0,34,1
Web,1,F,1,Y,1,1,N,9,5,7,0,0,26,1066,0,0,89000,0,0,40,0
0,1,M,2,Y,1,0,N,0,0,1,0,0,0,1536,0,1,0,1,0,39,0
0,1,F,2,Y,1,1,N,9,1,1,0,0,10,350,0,0,0,0,0,56,0
Web,1,F,1,N,1,1,N,9,5,1,0,0,30,396,0,0,0,0,0,51,1
Web,1,M,3,N,1,1,N,9,1,1,0,0,20,518,0,0,0,0,0,61,0
Web,1,M,2,Y,1,1,N,2,2,2,0,0,2,400,0,0,0,0,0,41,0
Web,1,M,2,Y,1,1,N,9,4,1,0,2,6,419,0,0,0,0,0,28,1
Web,1,F,2,Y,1,1,N,9,1,1,0,2,6,380,0,0,0,0,0,41,1
Web,1,F,1,Y,1,1,N,,,1,0,4,5,600,0,0,12000,0,0,34,1
0,1,F,2,Y,1,0,N,9,4,1,0,0,11,350,0,1,0,1,0,37,0
0,1,F,1,Y,1,1,N,9,2,1,0,0,5,398,0,1,0,1,0,56,0
0,1,F,1,Y,3,1,Y,9,3,1,0,1,0,1338,0,0,0,1,0,52,0
0,1,M,2,Y,1,0,Y,9,2,1,0,2,1,1000,1000,1,0,1,0,33,0
Web,1,F,2,Y,1,1,N,11,4,1,0,1,1,960,0,0,0,0,0,50,1
Web,1,F,1,Y,1,1,N,9,1,1,0,0,40,352,0,0,0,0,0,71,0
Web,1,F,2,Y,2,1,N,9,5,2,0,2,1,400,0,0,0,0,0,45,0
Web,1,F,4,Y,2,1,N,9,1,2,0,0,0,350,0,0,0,0,0,64,0
Web,1,F,4,Y,1,1,N,9,1,1,0,0,40,777.8,0,0,0,0,0,76,0
Web,1,M,2,Y,5,1,Y,9,2,2,0,4,30,514,0,0,40000,0,0,31,0
Web,1,F,1,Y,1,1,Y,9,5,1,0,0,1,394.96,0,0,0,0,0,18,1
Paper,1,F,1,N,1,1,Y,9,2,1,0,1,1,585,0,0,0,0,0,28,1
Web,1,F,2,Y,1,1,N,9,2,1,0,2,32,373,0,0,0,0,0,32,0
Web,1,M,1,N,1,1,N,9,5,2,0,0,5,350,0,0,0,0,0,44,1
